
variant,canonical_locality
narela mndi,narela mandi
narelamandi,narela mandi
narela mandy,narela mandi
narela mnd,narela mandi
nareala mandi,narela mandi
narela industrial area,narela industrial area
narela ind area,narela industrial area
narela indarea,narela industrial area
narela industrialarea,narela industrial area
nrela ind area,narela industrial area
punjabicolony,punjabi colony
punjabi colny,punjabi colony
pjbi colony,punjabi colony
punjabi col,punjabi colony
punjabi clny,punjabi colony
bankner vlg,bankner village
banknervillage,bankner village
bankner vill,bankner village
bankner gaon,bankner village
bnkner village,bankner village
narela sec a1,narela sector a-1
narela sector a1,narela sector a-1
narela seca1,narela sector a-1
narelasectora1,narela sector a-1
narela sec a-1,narela sector a-1
narela sec a2,narela sector a-2
narela sector a2,narela sector a-2
narelasectora2,narela sector a-2
narela sec a3,narela sector a-3
narela sector a3,narela sector a-3
narelasectora3,narela sector a-3
narela sec a4,narela sector a-4
narela sector a4,narela sector a-4
narelasectora4,narela sector a-4
holambi kalan vlg,holambi kalan village
holambi kalan vill,holambi kalan village
holambikalan village,holambi kalan village
holambi village,holambi kalan village
hlambi kalan,holambi kalan village
metrovihar,metro vihar
metro vhr,metro vihar
mitro vihar,metro vihar
metro vihr,metro vihar
metro vhar,metro vihar
alipur vlg,alipur village
alipur vill,alipur village
alipurgaon,alipur village
alipur vllg,alipur village
aleepur village,alipur village
bdo office,bdo office area
bdo office rya,bdo office area
bdo office area alipur,bdo office area
bdo area,bdo office area
jndpur,jindpur
jinpur,jindpur
jind pur,jindpur
jindpur alipur,jindpur
bakhtawarpur vlg,bakhtawarpur village
bakhtawarpur vill,bakhtawarpur village
bakhtawarpurgaon,bakhtawarpur village
bakhtapur village,bakhtawarpur village
bkhtawarpur,bakhtawarpur village
trivenicolony,triveni colony
triveni colny,triveni colony
trivani colony,triveni colony
triveni col,triveni colony
hiranki village,hiranki
hranki,hiranki
hirnki,hiranki
hiranki alipur,hiranki
burari vlg,burari village
burari vill,burari village
burari gaon,burari village
brari village,burari village
burari vllg,burari village
kamal pur,kamalpur
kmlpur,kamalpur
kamalpur burari,kamalpur
kamalpoor,kamalpur
babacolony,baba colony
baba colny,baba colony
baba col,baba colony
baba clny,baba colony
kadipur vlg,kadipur village
