variant,canonical_locality,ward_name,ward_no,zone
गौतमपुरी मोलरबंद,गौतमपुरी,मोलरबंद,181,साउथ ज़ोन
श्री राम कालोनी,श्री राम कॉलोनी,श्री राम कॉलोनी,246,शाहदरा नॉर्थ ज़ोन
सोनिया विहार पुश्ता,सोनिया विहार पुस्ता,सोनिया विहार,249,शाहदरा नॉर्थ ज़ोन
बसंत विहार,वसंत विहार,वसंत विहार,153,साउथ ज़ोन
budh vihar ph-1,budh vihar phase 1,budh vihar,25,rohini zone
दक्षिण विस्तार भाग 1,दक्षिण विस्तार भाग 1,कोटला मुबारकपुर,147,साउथ ज़ोन
arakashan road,arakashan road,ram nagar,80,city sp zone
कुतुब मीनार दिल्ली,कुतुब मीनार एरिया,लाडो सराय,154,साउथ ज़ोन
ओखला फेज 2,ओखला फेज 2,हरकेश नगर,177,साउथ ज़ोन
trilokpuri block-10,trilokpuri block 10,trilokpuri,192,east zone
khirki extension delhi,khirki extension,malviya nagar,149,south zone
स्वरूप नगर वाली गली,स्वरूप नगर,स्वरूप नगर,19,सिविल लाइंस ज़ोन
गांधी नगर बाज़ार,गांधी नगर मार्केट,गांधी नगर,212,शाहदरा साउथ ज़ोन
khyalla village,khyala village,khyala,102,west zone
south ext part 2,south extension part 2,andrews ganj,145,central zone
हरि नगर घंटा घर,हरि नगर,हरि नगर,99,वेस्ट ज़ोन
मिलन सिनेमा रोड,मिलन सिनेमा एरिया,करमपुरा,89,करोल बाग ज़ोन
संजय कॉलोनी बस्ती,संजय कॉलोनी,हरकेश नगर,177,साउथ ज़ोन
मोती नगर कॉलोनी,मोती नगर,मोती नगर,90,करोल बाग ज़ोन
subhash mohalla delhi,subhash mohalla,subhash mohalla(women ),233,shahdara north zone
pandav nagar blocks,pandav nagar,pandav nagar,200,east zone
gotam puri,gautam puri,gautam puri (gen.),226,shahdara north zone
silampur metro area,seelampur metro area,seelampur,225,shahdara north zone
यादव नगर वाली रोड,यादव नगर,समयपुर बादली,20,सिविल लाइंस ज़ोन
सैदुलाजाब दिल्ली,सैदुलाजाब गाँव,सैदुलाजाब,160,साउथ ज़ोन
बादली वाली गली,बादली गाँव,समयपुर बादली,20,सिविल लाइंस ज़ोन
geeta colony area,geeta colony,geeta colony,210,shahdara south zone
rup nagar,roop nagar,kamla nagar,69,keshav puram zone
fazalpur village,fazalpur,mandawali,199,east zone
dwarka sec 1,dwarka sector 1,dwarka - a,121,najafgarh zone
quresh nagar delhi,quresh nagar,quraish nagar,81,city sp zone
वैसाली,वैशाली,पीतमपुरा,57,केशव पुरम ज़ोन
kadipur village,kadipur village,kadipur,7,civil lines zone
chauhan banger,chauhan banger,chauhan banger (women),227,shahdara north zone
गौतमपुरी रोड,गौतमपुरी,मोलरबंद,181,साउथ ज़ोन
dwarka sec3,dwarka sector 3,dwarka - a,121,najafgarh zone
स्वरूप नगर बस्ती,स्वरूप नगर,स्वरूप नगर,19,सिविल लाइंस ज़ोन
shanti nagar colony,shanti nagar,tri nagar,63,keshav puram zone
nahar pur village,naharpur,rohini-a,21,rohini zone
sagarpur east area,sagarpur east,sagarpur,118,najafgarh zone
सरिता विहार पॉकेट एफ कॉलोनी,सरिता विहार पॉकेट एफ,सरिता विहार,187,साउथ ज़ोन
mundkaindarea,mundka industrial area,mundka,35,rohini zone
rohni sector 2,rohini sector 2,rohini-f,52,rohini zone
